id	objects
80830	['black grouse', 'megalith, megalithic structure', 'geyser', 'beacon, lighthouse, beacon light, pharos', 'impala, Aepyceros melampus', 'airship, dirigible', 'bustard', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'Arctic fox, white fox, Alopex lagopus', 'radio telescope, radio reflector', 'zebra', 'prairie chicken, prairie grouse, prairie fowl', 'volcano', 'crane', 'valley, vale', 'water tower']
90768	['shield, buckler', 'Petri dish', 'ladle', 'golf ball', 'gong, tam-tam', 'wok', 'nematode, nematode worm, roundworm', 'joystick', 'frying pan, frypan, skillet', 'bubble', 'switch, electric switch, electrical switch']
91057	['notebook, notebook computer', 'toy poodle', 'cliff, drop, drop-off', 'Dandie Dinmont, Dandie Dinmont terrier', 'mouse, computer mouse', 'ski mask', 'laptop, laptop computer', 'jersey, T-shirt, tee shirt', 'Irish water spaniel', 'three-toed sloth, ai, Bradypus tridactylus', 'hammerhead, hammerhead shark', 'bow', 'pole', 'miniature poodle', 'Norwich terrier', 'Kerry blue terrier', 'flagpole, flagstaff', 'standard poodle', 'Norfolk terrier', 'cairn, cairn terrier', 'badger']
81121	['park bench', 'barn', 'water tower', 'picket fence, paling', 'church, church building']
84862	['fire engine, fire truck', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'car mirror', 'analog clock', 'limousine, limo', 'street sign', 'traffic light, traffic signal, stoplight', 'sea urchin', 'cab, hack, taxi, taxicab', 'tow truck, tow car, wrecker']
80125	['upright, upright piano', 'nematode, nematode worm, roundworm', 'pool table, billiard table, snooker table', "jack-o'-lantern", 'bannister, banister, balustrade, balusters, handrail', 'grand piano, grand', 'guillotine', 'digital clock']
83625	['parachute, chute', 'flagpole, flagstaff', 'warplane, military plane', 'kite', 'airship, dirigible']
81538	['vizsla, Hungarian pointer', 'Chesapeake Bay retriever', 'Irish water spaniel', 'Sussex spaniel', 'Irish setter, red setter']
88392	['geyser', 'forklift', 'airship, dirigible', 'wing', 'traffic light, traffic signal, stoplight', 'fountain', 'pay-phone, pay-station', 'crane', 'warplane, military plane', 'switch, electric switch, electrical switch']
90854	['consomme', 'coffee mug', 'ptarmigan', 'brambling, Fringilla montifringilla', 'golf ball', 'pitcher, ewer', 'centipede', 'perfume, essence', 'goldfinch, Carduelis carduelis', 'volcano', 'vase', 'wing', 'balloon']
83655	['hay', 'geyser', 'church, church building', 'rapeseed', 'barn']
89309	['mountain bike, all-terrain bike, off-roader', 'parachute, chute', 'car mirror', 'hook, claw', 'ostrich, Struthio camelus', 'bicycle-built-for-two, tandem bicycle, tandem', 'alp', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'hay', 'pole', 'rapeseed', 'knot', "loupe, jeweler's loupe", 'bubble', 'unicycle, monocycle', 'harvester, reaper', 'zebra']
87034	['binder, ring-binder', 'monitor', 'book jacket, dust cover, dust jacket, dust wrapper', 'dishwasher, dish washer, dishwashing machine', 'iPod', 'cellular telephone, cellular phone, cellphone, cell, mobile phone', 'hand-held computer, hand-held microcomputer', 'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'lighter, light, igniter, ignitor', 'lampshade, lamp shade', 'screen, CRT screen', 'television, television system', 'modem', 'sliding door', 'projector']
87586	['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'nematode, nematode worm, roundworm', 'monitor', 'leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea', 'seashore, coast, seacoast, sea-coast', 'volcano', 'matchstick', 'digital clock']
90956	['geyser', 'nematode, nematode worm, roundworm', 'web site, website, internet site, site', 'parachute, chute', 'whistle', 'pole', 'fountain', 'fireboat', 'knot', 'coil, spiral, volute, whorl, helix', 'volcano', 'bubble', 'wing', 'shower curtain', 'jellyfish']
83233	['monitor', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'obelisk', 'lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'airship, dirigible', 'pier']
82617	['pole', 'beacon, lighthouse, beacon light, pharos', 'boathouse', 'birdhouse', 'flagpole, flagstaff']
83234	['monitor', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'obelisk', 'lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'airship, dirigible', 'traffic light, traffic signal, stoplight', 'fountain', 'pier']
83013	['geyser', 'nematode, nematode worm, roundworm', 'web site, website, internet site, site', 'fountain', 'spotlight, spot', 'bubble']
80054	['pitcher, ewer', 'dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'wreck', 'ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin', 'drilling platform, offshore rig', 'airship, dirigible', 'pole', 'milk can', 'whiskey jug', 'crane', 'odometer, hodometer, mileometer, milometer', 'pier', 'switch, electric switch, electrical switch', 'digital clock']
82834	['warplane, military plane', 'kite', 'vulture', 'airship, dirigible', 'parachute, chute', 'flagpole, flagstaff', 'great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias', 'wing', 'jellyfish']
83010	['projectile, missile', 'web site, website, internet site, site', 'missile']
85964	['worm fence, snake fence, snake-rail fence, Virginia fence', 'pole', 'bannister, banister, balustrade, balusters, handrail', 'park bench', 'window shade', 'pier']
89714	['car mirror', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'pole', 'barn', 'jeep, landrover', 'geyser', 'monitor', 'vending machine', 'fire screen, fireguard', 'limousine, limo', 'car wheel', 'hay', 'radio telescope, radio reflector', 'fountain', 'bubble', 'megalith, megalithic structure', 'beacon, lighthouse, beacon light, pharos', 'parachute, chute', "loupe, jeweler's loupe", 'rapeseed', 'crane', 'pickup, pickup truck', 'traffic light, traffic signal, stoplight', 'minivan', 'wing']
88347	['mountain bike, all-terrain bike, off-roader', 'cliff, drop, drop-off', 'lakeside, lakeshore', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'bison', 'rapeseed', 'valley, vale', 'alp']
89377	['monastery', 'viaduct', 'thatch, thatched roof', 'hay', 'boathouse', 'castle', 'barn', 'church, church building']
81837	['nematode, nematode worm, roundworm']
81836	['nematode, nematode worm, roundworm']
80597	[]
80596	[]
89651	['notebook, notebook computer', 'nematode, nematode worm, roundworm', 'tennis ball', 'file, file cabinet, filing cabinet', 'pool table, billiard table, snooker table', 'golf ball', 'isopod', 'syringe', 'matchstick', 'damselfly']
86769	['monitor', 'cellular telephone, cellular phone, cellphone, cell, mobile phone', 'web site, website, internet site, site', 'hand-held computer, hand-held microcomputer', 'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'screen, CRT screen', 'television, television system']
89657	['digital clock', 'nematode, nematode worm, roundworm', 'jellyfish']
80592	[]
85244	['geyser', 'cliff, drop, drop-off', 'fountain', 'valley, vale', 'volcano']
90539	['suspension bridge', 'stupa, tope', 'radio telescope, radio reflector', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'hay', 'pole', 'rapeseed', 'swing']
81336	['upright, upright piano', 'pool table, billiard table, snooker table', "jack-o'-lantern", 'wing', 'grand piano, grand']
80759	['sandbar, sand bar', 'valley, vale', 'volcano', 'seashore, coast, seacoast, sea-coast', 'promontory, headland, head, foreland']
81331	['geyser', 'nematode, nematode worm, roundworm', 'kite', 'missile', 'space shuttle', 'lacewing, lacewing fly', 'fountain', 'spotlight, spot', 'volcano', 'bee eater']
81332	['fire engine, fire truck', 'cab, hack, taxi, taxicab']
91025	['submarine, pigboat, sub, U-boat', 'viaduct', 'freight car', 'dam, dike, dyke', 'suspension bridge']
80206	['parachute, chute', 'pelican', 'warplane, military plane', 'kite', 'white stork, Ciconia ciconia']
85325	['seashore, coast, seacoast, sea-coast', 'promontory, headland, head, foreland']
85324	['matchstick', 'nematode, nematode worm, roundworm', 'traffic light, traffic signal, stoplight', "jack-o'-lantern", 'spotlight, spot', 'digital clock', 'bubble', 'jellyfish']
89445	['picket fence, paling', 'lakeside, lakeshore', 'patio, terrace', 'window screen', 'tank, army tank, armored combat vehicle, armoured combat vehicle', 'restaurant, eating house, eating place, eatery', 'water tower', 'window shade', 'pier', 'sliding door']
79680	['lampshade, lamp shade', 'matchstick', 'envelope', 'packet', 'book jacket, dust cover, dust jacket, dust wrapper']
81583	['dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'home theater, home theatre', 'planetarium', 'spotlight, spot', 'television, television system', 'bubble']
81582	['dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'car mirror', 'home theater, home theatre', 'dome', 'planetarium', 'spotlight, spot', 'television, television system', 'bubble']
81581	['dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'car mirror', 'home theater, home theatre', 'dome', 'planetarium', 'spotlight, spot', 'television, television system', 'bubble']
81580	['dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'car mirror', 'home theater, home theatre', 'dome', 'planetarium', 'spotlight, spot', 'television, television system', 'bubble']
83650	['tick', 'trolleybus, trolley coach, trackless trolley', 'barn spider, Araneus cavaticus', 'traffic light, traffic signal, stoplight', "spider web, spider's web", 'street sign', 'nail', 'pole', 'water tower', 'envelope', 'black widow, Latrodectus mactans', 'snowplow, snowplough', 'garden spider, Aranea diademata']
81585	['dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'car mirror', 'home theater, home theatre', 'dome', 'planetarium', 'spotlight, spot', 'television, television system', 'bubble']
81584	['dugong, Dugong dugon', 'nematode, nematode worm, roundworm', 'car mirror', 'home theater, home theatre', 'planetarium', 'spotlight, spot', 'television, television system', 'bubble']
83174	['geyser', 'nematode, nematode worm, roundworm', 'kite', 'black stork, Ciconia nigra', 'vulture', 'airship, dirigible', 'parachute, chute', 'ant, emmet, pismire', "loupe, jeweler's loupe", 'dugong, Dugong dugon', 'hummingbird', 'flagpole, flagstaff', 'warplane, military plane', 'grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus', 'bald eagle, American eagle, Haliaeetus leucocephalus']
88810	['sandbar, sand bar', 'tub, vat', 'lakeside, lakeshore', 'mobile home, manufactured home', 'car mirror']
81621	['fountain pen', 'quill, quill pen', 'ballpoint, ballpoint pen, ballpen, Biro', 'rubber eraser, rubber, pencil eraser']
81626	['binoculars, field glasses, opera glasses', 'kite', 'vulture', 'ostrich, Struthio camelus', 'sunscreen, sunblock, sun blocker', "potter's wheel", 'sunglass', 'Arabian camel, dromedary, Camelus dromedarius', 'llama']
86910	['projectile, missile', 'book jacket, dust cover, dust jacket, dust wrapper', 'cellular telephone, cellular phone, cellphone, cell, mobile phone', 'web site, website, internet site, site', 'missile', 'traffic light, traffic signal, stoplight', 'perfume, essence', 'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'screen, CRT screen', 'television, television system', 'digital clock']
81233	['picket fence, paling', 'lakeside, lakeshore', 'balloon', 'beacon, lighthouse, beacon light, pharos', 'seashore, coast, seacoast, sea-coast', 'boathouse', 'sandbar, sand bar', 'crane', 'mobile home, manufactured home', 'alp']
81625	['traffic light, traffic signal, stoplight']
79665	['geyser', 'balloon', 'missile', 'parachute, chute', 'traffic light, traffic signal, stoplight', 'fountain', 'flagpole, flagstaff', 'volcano', 'wing', 'fireboat']
81906	['triumphal arch', 'ear, spike, capitulum', 'puffer, pufferfish, blowfish, globefish', 'obelisk', 'jackfruit, jak, jack', 'maypole', 'vulture', 'seashore, coast, seacoast, sea-coast', 'spider monkey, Ateles geoffroyi', 'nail', 'pole', 'pineapple, ananas', 'howler monkey, howler', 'knot', 'sea urchin', 'bell cote, bell cot', 'corn']
79666	['volcano', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'pool table, billiard table, snooker table', 'cinema, movie theater, movie theatre, movie house, picture palace', 'projector', 'gar, garfish, garpike, billfish, Lepisosteus osseus', 'laptop, laptop computer', 'balloon', 'limousine, limo', 'barn spider, Araneus cavaticus', 'monitor', 'missile', 'bulletproof vest', 'traffic light, traffic signal, stoplight', 'spotlight, spot', 'nematode, nematode worm, roundworm', 'television, television system', 'digital clock', 'wing', 'photocopier', 'stage']
88535	['nematode, nematode worm, roundworm', 'torch', 'barn', 'missile', 'pole', "jack-o'-lantern", 'church, church building', 'spotlight, spot', 'flagpole, flagstaff', 'volcano', 'matchstick', 'digital clock']
89096	['brass, memorial tablet, plaque', 'moving van', 'cinema, movie theater, movie theatre, movie house, picture palace', 'street sign']
79662	['hay', 'stone wall', 'barn', 'rapeseed', 'plow, plough']
