filename	objects
87752_submitter_file2__IMG2267.JPG	['space shuttle', 'volcano', 'balloon', 'geyser', 'beacon, lighthouse, beacon light, pharos']
83831_submitter_file7__20170426193415.jpg	['yurt', 'thatch, thatched roof', 'barn']
88375_submitter_file2__IMG365711.jpg	['traffic light, traffic signal, stoplight', 'torch', "jack-o'-lantern", 'candle, taper, wax light', 'spotlight, spot']
78206_submitter_file9__20160805023931LC18.jpg	['geyser', 'barn', 'rapeseed', 'alp', 'lakeside, lakeshore']
84862_submitter_file2__FBIMG1499261499585.jpg	['fire engine, fire truck', 'traffic light, traffic signal, stoplight', 'limousine, limo', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'tow truck, tow car, wrecker']
83831_submitter_file6__20170426192910.jpg	['parachute, chute', 'volcano', 'balloon', 'alp', 'lakeside, lakeshore']
81458_submitter_file5__IMG0785.JPG	['church, church building', 'rapeseed', 'barn']
75308_submitter_file5__201603160721010001.jpeg	['submarine, pigboat, sub, U-boat', 'jellyfish', 'nematode, nematode worm, roundworm', 'screwdriver', 'digital clock']
81836_submitter_file5__IMG0317.PNG	['nematode, nematode worm, roundworm']
84322_submitter_file1__Photoon61017at9.08PM.jpg	['cellular telephone, cellular phone, cellphone, cell, mobile phone', 'remote control, remote']
80227_submitter_file2__IMG01332triangleorbline.jpg	['screen, CRT screen', 'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM', 'home theater, home theatre', 'car mirror', 'monitor']
79067_submitter_file2__IMG20160910191522.jpg	['flagpole, flagstaff']
88004_submitter_file4__IMG5711Nov040551PM.jpg	['sandbar, sand bar', 'beacon, lighthouse, beacon light, pharos', 'pier', 'seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore']
89139_submitter_file2__FBIMG1502050968167.jpg	['barracouta, snoek', 'great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias', 'airship, dirigible', 'grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus', 'tiger shark, Galeocerdo cuvieri']
84586_submitter_file3__1018am3.jpg	['schooner', 'pole', 'geyser', 'flagpole, flagstaff']
84288_submitter_file2__IMG9330.JPG	['notebook, notebook computer', 'laptop, laptop computer', 'pool table, billiard table, snooker table', 'nematode, nematode worm, roundworm', 'ping-pong ball']
88855_submitter_file3__2535408917351539398629197253589745418289771n.jpg	['pier', 'traffic light, traffic signal, stoplight', 'spotlight, spot', 'airliner', 'suspension bridge']
90324_submitter_file5__20180216123157.jpg	['geyser', 'fountain', 'wing', 'fireboat', 'airship, dirigible']
83394_submitter_file7__DSC4463.jpg	['planetarium', 'traffic light, traffic signal, stoplight', 'cinema, movie theater, movie theatre, movie house, picture palace', 'airship, dirigible', 'bannister, banister, balustrade, balusters, handrail']
85032_submitter_file1__image.jpeg	['hammer', 'sunscreen, sunblock, sun blocker', 'boa constrictor, Constrictor constrictor', 'sunglasses, dark glasses, shades', 'sunglass']
77738_submitter_file1__DSCF2836.JPG	['traffic light, traffic signal, stoplight', 'flagpole, flagstaff', 'car mirror', 'pole', 'spotlight, spot']
79408_submitter_file1__20160926044419.jpg	['pool table, billiard table, snooker table', 'hammerhead, hammerhead shark', 'nematode, nematode worm, roundworm', 'monitor', 'jellyfish']
74209_submitter_file1__20160130154011.jpg	['traffic light, traffic signal, stoplight', 'pole', 'spotlight, spot']
84550_submitter_file1__IMG1562.JPG	['lampshade, lamp shade', 'spotlight, spot']
83133_submitter_file4__20170408161619.jpg	['geyser', 'fountain']
87483_submitter_file2__weirdthing2.jpg	['megalith, megalithic structure', 'radio telescope, radio reflector', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'wing', 'beacon, lighthouse, beacon light, pharos']
80826_submitter_file2__20161205223942.jpg	['cliff, drop, drop-off', 'sandbar, sand bar', 'lakeside, lakeshore', 'alp', 'promontory, headland, head, foreland']
86264_submitter_file1__IMG3632.PNG	['planetarium', 'boathouse', 'barn', 'stage', 'spotlight, spot']
78206_submitter_file1__20160805030044LC40.jpg	['balloon', 'beacon, lighthouse, beacon light, pharos', 'monitor', 'lakeside, lakeshore']
85240_submitter_file3__IMG20170721053937326.jpg	['parachute, chute', 'notebook, notebook computer', 'albatross, mollymawk', 'airship, dirigible', 'kite']
89073_submitter_file2__92B2134140984B629BC4C3655B7C6074.jpeg	['traffic light, traffic signal, stoplight', 'stage', 'nematode, nematode worm, roundworm', 'breastplate, aegis, egis', 'spotlight, spot']
81458_submitter_file1__IMG0781.JPG	['boathouse', 'church, church building', 'beacon, lighthouse, beacon light, pharos', 'picket fence, paling', 'barn']
90888_submitter_file6__DSC02050.JPG	['bubble', 'digital clock', 'hammerhead, hammerhead shark', 'nematode, nematode worm, roundworm', 'jellyfish']
83173_submitter_file5__5.BizarreObjectwithExtendingTube.jpg	['volcano', 'traffic light, traffic signal, stoplight', 'matchstick', 'nematode, nematode worm, roundworm', 'spotlight, spot']
80840_submitter_file1__KohlsUFOOriginal.jpg	['obelisk', 'hay', 'church, church building', 'rapeseed', 'beacon, lighthouse, beacon light, pharos']
87812_submitter_file3__IMG3921.JPG	['traffic light, traffic signal, stoplight', 'limousine, limo', 'torch', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'tow truck, tow car, wrecker']
86242_submitter_file5__IMG20160723222926.jpg	['volcano', "jack-o'-lantern", 'matchstick', 'nematode, nematode worm, roundworm', 'jellyfish']
87896_submitter_file3__ufo1.jpg	['water snake', 'nematode, nematode worm, roundworm', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']
79780_submitter_file2__12016091906520411.jpg	['sea urchin', 'volcano', 'axolotl, mud puppy, Ambystoma mexicanum', 'bell cote, bell cot', 'quill, quill pen']
71167_submitter_file1__003.JPG	['nematode, nematode worm, roundworm']
90526_submitter_file2__1029111541.jpg	['prison, prison house', 'wardrobe, closet, press', 'ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin', 'sliding door', 'shower curtain']
84032_submitter_file1__DJ740.jpg	['park bench', 'patio, terrace', 'flagpole, flagstaff', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'lakeside, lakeshore']
71243_submitter_file5__201510051837371.jpg	['megalith, megalithic structure', 'balloon', 'flagpole, flagstaff', 'radio telescope, radio reflector', 'beacon, lighthouse, beacon light, pharos']
85240_submitter_file1__IMG20170721054554387.jpg	['obelisk', 'balloon', 'water tower', 'airship, dirigible', 'flagpole, flagstaff']
84482_submitter_file1__2017051523h40.JPG	['liner, ocean liner', 'pier', 'dock, dockage, docking facility']
81233_submitter_file1__IMG0142.PNG	['boathouse', 'lakeside, lakeshore', 'mobile home, manufactured home', 'picket fence, paling', 'beacon, lighthouse, beacon light, pharos']
80281_submitter_file5__Medowbrookparkwyorbsheadingtowardssun.jpg	['wing', 'car mirror', 'seat belt, seatbelt']
83933_submitter_file7__7.AlienCraftNearPassengerPlanePhotograph3Enlargement4.jpg	['nail', 'screw', 'warplane, military plane', 'projectile, missile', 'airliner']
90479_submitter_file3__objectinsky3Feb1520182.jpg	['bassoon', 'television, television system', 'upright, upright piano', 'window screen', 'microwave, microwave oven']
87666_submitter_file2__ufocloud1.jpg	['parachute, chute', 'volcano', 'nematode, nematode worm, roundworm', 'wing', 'airship, dirigible']
81584_submitter_file4__image.png	['planetarium', 'television, television system', 'dugong, Dugong dugon', 'bubble', 'car mirror']
88518_submitter_file3__IMG20171201092644.jpg	['pole', 'flagpole, flagstaff', 'projectile, missile', 'car mirror', 'missile']
81139_submitter_file2__ActualSun1.jpg	['window shade', 'rain barrel', 'window screen', 'sliding door', 'flagpole, flagstaff']
80915_submitter_file1__IMG0614.JPG	['geyser', 'fountain', 'fireboat']
88710_submitter_file3__Mazaredo3.PNG	['volcano', 'valley, vale', 'geyser', 'coral reef', 'cuirass']
87907_submitter_file5__Screenshot20171109223803.png	['nematode, nematode worm, roundworm', 'digital clock']
86851_submitter_file3__DSC31113.JPG	['long-horned beetle, longicorn, longicorn beetle', 'black widow, Latrodectus mactans', 'barn spider, Araneus cavaticus', 'rhinoceros beetle', 'ground beetle, carabid beetle']
